Cordis,Project-Acronym,,,,,
http://cordis.europa.eu/project/rcn/207238_en.html,INLINE,,,,,
http://cordis.europa.eu/project/rcn/208049_en.html,JIVE,,,,,
http://cordis.europa.eu/project/rcn/207656_en.html,HyLAW,,,,,
http://cordis.europa.eu/project/rcn/207497_en.html,COSMHYC,,,,,
http://cordis.europa.eu/project/rcn/207648_en.html,INN-BALANCE,,,,,
http://cordis.europa.eu/project/rcn/207236_en.html,qSOFC,,,,,
http://cordis.europa.eu/project/rcn/207240_en.html,MEMPHYS,,,,,
http://cordis.europa.eu/project/rcn/207654_en.html,MARANDA,,,,,
http://cordis.europa.eu/project/rcn/207649_en.html,NET-Tools,,,,,
http://cordis.europa.eu/project/rcn/207658_en.html,BIOROBURplus,,,,,
http://cordis.europa.eu/project/rcn/204427_en.html,SOSLeM,,,,,
http://cordis.europa.eu/project/rcn/204314_en.html,ECo,,,,,
http://cordis.europa.eu/project/rcn/204317_en.html,INSPIRE,,,,,
http://cordis.europa.eu/project/rcn/204279_en.html,HPEM2GAS,,,,,
http://cordis.europa.eu/project/rcn/204284_en.html,HyGrid,,,,,
http://cordis.europa.eu/project/rcn/204426_en.html,COMPASS,,,,,
http://cordis.europa.eu/project/rcn/204315_en.html,PACE,,,,,
http://cordis.europa.eu/project/rcn/204287_en.html,ELY4OFF,,,,,
http://cordis.europa.eu/project/rcn/198091_en.html,H2ME 2,,,,,
http://cordis.europa.eu/project/rcn/204283_en.html,GrInHy,,,,,
http://cordis.europa.eu/project/rcn/204282_en.html,HYTECHCYCLING,,,,,
http://cordis.europa.eu/project/rcn/204280_en.html,Giantleap,,,,,
http://cordis.europa.eu/project/rcn/204425_en.html,HEATSTACK,,,,,
http://cordis.europa.eu/project/rcn/204424_en.html,BIG HIT,,,,,
http://cordis.europa.eu/project/rcn/204281_en.html,Cell3Ditor,,,,,
http://cordis.europa.eu/project/rcn/198024_en.html,ELYntegration,,,,,
http://cordis.europa.eu/project/rcn/198042_en.html,VOLUMETRIQ,,,,,
http://cordis.europa.eu/project/rcn/197930_en.html,NewBusFuel,,,,,
http://cordis.europa.eu/project/rcn/197929_en.html,AutoRE,,,,,
http://cordis.europa.eu/project/rcn/198094_en.html,SElySOs,,,,,
http://cordis.europa.eu/project/rcn/198093_en.html,D2Service,,,,,
http://cordis.europa.eu/project/rcn/198234_en.html,HySEA,,,,,
http://cordis.europa.eu/project/rcn/199464_en.html,HyBalance,,,,,
http://cordis.europa.eu/project/rcn/197535_en.html,INNO-SOFC,,,,,
http://cordis.europa.eu/project/rcn/198091_en.html,H2ME,,,,,
http://cordis.europa.eu/project/rcn/197932_en.html,HEALTH-CODE,,,,,
http://cordis.europa.eu/project/rcn/198235_en.html,H2REF,,,,,
http://cordis.europa.eu/project/rcn/197931_en.html,DEMOSOFC,,,,,
http://cordis.europa.eu/project/rcn/198092_en.html,HY4ALL,,,,,
http://cordis.europa.eu/project/rcn/198047_en.html,BIONICO,,,,,
http://cordis.europa.eu/project/rcn/197066_en.html,CERTIFHY,,,,,
http://cordis.europa.eu/project/rcn/197067_en.html,3EMOTION,,,,,
http://cordis.europa.eu/project/rcn/192563_en.html,MEGASTACK,,,,,
http://cordis.europa.eu/project/rcn/185723_en.html,PECDEMO,,,,,
http://cordis.europa.eu/project/rcn/185721_en.html,NELLHI,,,,,
http://cordis.europa.eu/project/rcn/192339_en.html,HYACINTH,,,,,
http://cordis.europa.eu/project/rcn/192597_en.html,DEMCOPEM-2MW,,,,,
http://cordis.europa.eu/project/rcn/185714_en.html,ENDURANCE,,,,,
http://cordis.europa.eu/project/rcn/185711_en.html,FERRET,,,,,
http://cordis.europa.eu/project/rcn/185716_en.html,HELMETH,,,,,
http://cordis.europa.eu/project/rcn/189877_en.html,SOCTESQA,,,,,
http://cordis.europa.eu/project/rcn/185715_en.html,DIAMOND,,,,,
http://cordis.europa.eu/project/rcn/185717_en.html,STAGE-SOFC,,,,,
http://cordis.europa.eu/project/rcn/185718_en.html,SECOND ACT,,,,,
http://cordis.europa.eu/project/rcn/185712_en.html,COBRA,,,,,
http://cordis.europa.eu/project/rcn/192280_en.html,MATISSE,,,,,
http://cordis.europa.eu/project/rcn/192342_en.html,KNOWHY,,,,,
http://cordis.europa.eu/project/rcn/192608_en.html,INSIDE,,,,,
http://cordis.europa.eu/project/rcn/189876_en.html,PEMBEYOND,,,,,
http://cordis.europa.eu/project/rcn/185720_en.html,HYCORA,,,,,
http://cordis.europa.eu/project/rcn/185719_en.html,HYFIVE,,,,,
http://cordis.europa.eu/project/rcn/189875_en.html,HYPACTOR,,,,,
http://cordis.europa.eu/project/rcn/185710_en.html,SOPHIA,,,,,
http://cordis.europa.eu/project/rcn/185722_en.html,ELECTRA,,,,,
http://cordis.europa.eu/project/rcn/185713_en.html,FLUIDCELL,,,,,
http://cordis.europa.eu/project/rcn/108825_en.html,H2SENSE,,,,,
http://cordis.europa.eu/project/rcn/108581_en.html,PROSOFC,,,,,
http://cordis.europa.eu/project/rcn/108794_en.html,CISTEM,,,,,
http://cordis.europa.eu/project/rcn/109043_en.html,SUSANA,,,,,
http://cordis.europa.eu/project/rcn/108481_en.html,SAPPHIRE,,,,,
http://cordis.europa.eu/project/rcn/108627_en.html,SMARTCAT,,,,,
http://cordis.europa.eu/project/rcn/111013_en.html,HYAC,,,,,
http://cordis.europa.eu/project/rcn/108826_en.html,HYRESPONSE,,,,,
http://cordis.europa.eu/project/rcn/111501_en.html,HYDROSOL-PLANT,,,,,
http://cordis.europa.eu/project/rcn/108795_en.html,SOL2HY2,,,,,
http://cordis.europa.eu/project/rcn/108995_en.html,SCORED 2:0,,,,,
http://cordis.europa.eu/project/rcn/108673_en.html,IRMFC,,,,,
http://cordis.europa.eu/project/rcn/108583_en.html,DEMSTACK,,,,,
http://cordis.europa.eu/project/rcn/109134_en.html,ONSITE,,,,,
http://cordis.europa.eu/project/rcn/109031_en.html,AUTO-STACK CORE,,,,,
http://cordis.europa.eu/project/rcn/111563_en.html,SAFARI,,,,,
http://cordis.europa.eu/project/rcn/108777_en.html,CATAPULT,,,,,
http://cordis.europa.eu/project/rcn/108541_en.html,NANO-CAT,,,,,
http://cordis.europa.eu/project/rcn/108653_en.html,BIOROBUR,,,,,
http://cordis.europa.eu/project/rcn/108582_en.html,ALKAMMONIA,,,,,
http://cordis.europa.eu/project/rcn/108542_en.html,HYCARUS,,,,,
http://cordis.europa.eu/project/rcn/108580_en.html,HYTRANSFER,,,,,
http://cordis.europa.eu/project/rcn/109427_en.html,FIRECOMP,,,,,
http://cordis.europa.eu/project/rcn/111022_en.html,HAWL,,,,,
http://cordis.europa.eu/project/rcn/109535_en.html,H2TRUST,,,,,
http://cordis.europa.eu/project/rcn/111500_en.html,POWER-UP,,,,,
http://cordis.europa.eu/project/rcn/108778_en.html,COPERNIC,,,,,
http://cordis.europa.eu/project/rcn/105201_en.html,NOVEL,,,,,
http://cordis.europa.eu/project/rcn/104612_en.html,UNIFHY,,,,,
http://cordis.europa.eu/project/rcn/106734_en.html,SWARM,,,,,
http://cordis.europa.eu/project/rcn/106589_en.html,SAPIENS,,,,,
http://cordis.europa.eu/project/rcn/106421_en.html,IMPALA,,,,,
http://cordis.europa.eu/project/rcn/104932_en.html,HYPER,,,,,
http://cordis.europa.eu/project/rcn/106186_en.html,DON QUICHOTE,,,,,
http://cordis.europa.eu/project/rcn/104613_en.html,TRISOFC,,,,,
http://cordis.europa.eu/project/rcn/106733_en.html,IMMEDIATE,,,,,
http://cordis.europa.eu/project/rcn/104120_en.html,ELECTROHYPEM,,,,,
http://cordis.europa.eu/project/rcn/106348_en.html,IMPACT,,,,,
http://cordis.europa.eu/project/rcn/106155_en.html,LIQUIDPOWER,,,,,
http://cordis.europa.eu/project/rcn/104283_en.html,FLUMABACK,,,,,
http://cordis.europa.eu/project/rcn/104881_en.html,T-CELL,,,,,
http://cordis.europa.eu/project/rcn/104387_en.html,MATHRYCE,,,,,
http://cordis.europa.eu/project/rcn/106500_en.html,HYLIFT-EUROPE,,,,,
http://cordis.europa.eu/project/rcn/104756_en.html,HYUNDER,,,,,
http://cordis.europa.eu/project/rcn/106499_en.html,PUMA MIND,,,,,
http://cordis.europa.eu/project/rcn/106498_en.html,PHAEDRUS,,,,,
http://cordis.europa.eu/project/rcn/104883_en.html,STAMPEM,,,,,
http://cordis.europa.eu/project/rcn/106501_en.html,CATHCAT,,,,,
http://cordis.europa.eu/project/rcn/104284_en.html,ARTIPHYCTION,,,,,
http://cordis.europa.eu/project/rcn/104978_en.html,STACKTEST,,,,,
http://cordis.europa.eu/project/rcn/106432_en.html,PURE,,,,,
http://cordis.europa.eu/project/rcn/104614_en.html,BEINGENERGY,,,,,
http://cordis.europa.eu/project/rcn/106694_en.html,HYTRANSIT,,,,,
http://cordis.europa.eu/project/rcn/106375_en.html,EVOLVE,,,,,
http://cordis.europa.eu/project/rcn/104140_en.html,EURECA,,,,,
http://cordis.europa.eu/project/rcn/104765_en.html,ENE.FIELD,,,,,
http://cordis.europa.eu/project/rcn/105200_en.html,EDEN,,,,,
http://cordis.europa.eu/project/rcn/106349_en.html,CLEARGEN DEMO,,,,,
http://cordis.europa.eu/project/rcn/104227_en.html,BOR4STORE,,,,,
http://cordis.europa.eu/project/rcn/105438_en.html,ARTEMIS,,,,,
http://cordis.europa.eu/project/rcn/101451_en.html,DESTA,,,,,
http://cordis.europa.eu/project/rcn/101096_en.html,HYTEC,,,,,
http://cordis.europa.eu/project/rcn/101363_en.html,HYINDOOR,,,,,
http://cordis.europa.eu/project/rcn/101365_en.html,RESELYSER,,,,,
http://cordis.europa.eu/project/rcn/101147_en.html,DURAMET,,,,,
http://cordis.europa.eu/project/rcn/101420_en.html,HY2SEPS-2,,,,,
http://cordis.europa.eu/project/rcn/101999_en.html,TOWERPOWER,,,,,
http://cordis.europa.eu/project/rcn/101364_en.html,LASER-CELL,,,,,
http://cordis.europa.eu/project/rcn/101993_en.html,HYTIME,,,,,
http://cordis.europa.eu/project/rcn/101480_en.html,TEMONAS,,,,,
http://cordis.europa.eu/project/rcn/101421_en.html,COMETHY,,,,,
http://cordis.europa.eu/project/rcn/101450_en.html,SUAV,,,,,
http://cordis.europa.eu/project/rcn/101089_en.html,METSAPP,,,,,
http://cordis.europa.eu/project/rcn/101730_en.html,HIGH V.LO-CITY,,,,,
http://cordis.europa.eu/project/rcn/101146_en.html,METPROCELL,,,,,
http://cordis.europa.eu/project/rcn/101362_en.html,MMLRC=SOFC,,,,,
http://cordis.europa.eu/project/rcn/101098_en.html,SOFCOM,,,,,
http://cordis.europa.eu/project/rcn/101479_en.html,IDEALHY,,,,,
http://cordis.europa.eu/project/rcn/101086_en.html,FCGEN,,,,,
http://cordis.europa.eu/project/rcn/101804_en.html,FCPOWEREDRBS,,,,,
http://cordis.europa.eu/project/rcn/101099_en.html,ELYGRID,,,,,
http://cordis.europa.eu/project/rcn/101995_en.html,REFORCELL,,,,,
http://cordis.europa.eu/project/rcn/101989_en.html,NEMESIS2+,,,,,
http://cordis.europa.eu/project/rcn/101991_en.html,DELIVERHY,,,,,
http://cordis.europa.eu/project/rcn/101731_en.html,SOFT-PACT,,,,,
http://cordis.europa.eu/project/rcn/97999_en.html,PEMICAN,,,,,
http://cordis.europa.eu/project/rcn/97942_en.html,MOBYPOST,,,,,
http://cordis.europa.eu/project/rcn/97967_en.html,HYPROFESSIONALS,,,,,
http://cordis.europa.eu/project/rcn/97933_en.html,DESIGN,,,,,
http://cordis.europa.eu/project/rcn/97945_en.html,NH34PWR,,,,,
http://cordis.europa.eu/project/rcn/97939_en.html,RAMSES,,,,,
http://cordis.europa.eu/project/rcn/97936_en.html,SCOTAS-SOFC,,,,,
http://cordis.europa.eu/project/rcn/97969_en.html,H2FC-LCA,,,,,
http://cordis.europa.eu/project/rcn/97946_en.html,HYLIFT-DEMO,,,,,
http://cordis.europa.eu/project/rcn/97965_en.html,HYGUIDE,,,,,
http://cordis.europa.eu/project/rcn/97928_en.html,CATION,,,,,
http://cordis.europa.eu/project/rcn/97930_en.html,SSH2S,,,,,
http://cordis.europa.eu/project/rcn/97932_en.html,D-CODE,,,,,
http://cordis.europa.eu/project/rcn/97944_en.html,CHIC,,,,,
http://cordis.europa.eu/project/rcn/97938_en.html,ASTERIX3,,,,,
http://cordis.europa.eu/project/rcn/97937_en.html,ADEL,,,,,
http://cordis.europa.eu/project/rcn/97934_en.html,LOTUS,,,,,
http://cordis.europa.eu/project/rcn/97941_en.html,PREMIUM ACT,,,,,
http://cordis.europa.eu/project/rcn/97943_en.html,SHEL,,,,,
http://cordis.europa.eu/project/rcn/97929_en.html,MAESTRO,,,,,
http://cordis.europa.eu/project/rcn/97947_en.html,SOFC-LIFE,,,,,
http://cordis.europa.eu/project/rcn/97968_en.html,FC-EUROGRID,,,,,
http://cordis.europa.eu/project/rcn/97970_en.html,HYFACTS,,,,,
http://cordis.europa.eu/project/rcn/97940_en.html,HYQ,,,,,
http://cordis.europa.eu/project/rcn/97931_en.html,HYCOMP,,,,,
http://cordis.europa.eu/project/rcn/97966_en.html,TRAINHY-PROF,,,,,
http://cordis.europa.eu/project/rcn/97935_en.html,STAYERS,,,,,
http://cordis.europa.eu/project/rcn/97957_en.html,FITUP,,,,,
http://cordis.europa.eu/project/rcn/94270_en.html,H2MOVES SCANDINAVIA,,,,,
http://cordis.europa.eu/project/rcn/94274_en.html,AUTO-STACK,,,,,
http://cordis.europa.eu/project/rcn/94273_en.html,NEXTHYLIGHTS,,,,,
http://cordis.europa.eu/project/rcn/94275_en.html,DEMMEA,,,,,
http://cordis.europa.eu/project/rcn/94272_en.html,GENIUS,,,,,
http://cordis.europa.eu/project/rcn/94279_en.html,PRIMOLYZER,,,,,
http://cordis.europa.eu/project/rcn/94283_en.html,LOLIPEM,,,,,
http://cordis.europa.eu/project/rcn/94277_en.html,IRAFC,,,,,
http://cordis.europa.eu/project/rcn/94280_en.html,NEXPEL,,,,,
http://cordis.europa.eu/project/rcn/94269_en.html,ASSENT,,,,,
http://cordis.europa.eu/project/rcn/94284_en.html,ROBANODE,,,,,
http://cordis.europa.eu/project/rcn/94271_en.html,KEEPEMALIVE,,,,,
http://cordis.europa.eu/project/rcn/94281_en.html,ISH2SUP,,,,,
http://cordis.europa.eu/project/rcn/94278_en.html,HYDROSOL-3D,,,,,
http://cordis.europa.eu/project/rcn/94276_en.html,MCFC-CONTEX,,,,,
http://cordis.europa.eu/project/rcn/94282_en.html,PREPAR-H2,,,,,
https://cordis.europa.eu/project/id/101101517,H2Ref,,,,,
